species_code,scientific_name,common_name,functional_group,climate_zone,topographic_position,elevation_niche,moisture_regime,soil_substrate,shade_tolerance,successional_stage,formatted_description
RHA,Rhamnus cathartica,European Buckthorn,Deciduous invasive shrub / small tree,Temperate introduced invasive climates,"Forest edges, abandoned fields, disturbed woodlots",Adaptable woodlots,Dry-mesic to wet-mesic,"Adaptable fertile to clay soils",Tolerant,Invasive persistent shrub,"Species: Rhamnus cathartica (European Buckthorn). Taxonomy & Functional Type: Deciduous invasive shrub / small tree. Climate Niche: Thrives in Temperate introduced invasive climates. Topography & Elevation: Found in Forest edges, abandoned fields, disturbed woodlots; Adaptable woodlots. Soil & Hydrology: Prefers Dry-mesic to wet-mesic moisture regimes and Adaptable fertile to clay soils. Ecological Traits: Tolerant shade tolerance; Invasive persistent shrub."
RHF,Frangula alnus,Glossy Buckthorn,Deciduous invasive shrub,Temperate introduced invasive climates,"Fens, bogs, wet meadows, damp forest gaps",Lowland wetland margins,Wet-mesic to hydric,"Wet acidic organic peat, damp sandy loams",Intermediate to tolerant,Invasive wetland shrub,"Species: Frangula alnus (Glossy Buckthorn). Taxonomy & Functional Type: Deciduous invasive shrub. Climate Niche: Thrives in Temperate introduced invasive climates. Topography & Elevation: Found in Fens, bogs, wet meadows, damp forest gaps; Lowland wetland margins. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Wet acidic organic peat, damp sandy loams. Ecological Traits: Intermediate to tolerant shade tolerance; Invasive wetland shrub."
SOR,Sorbus americana,American Mountain-Ash,Deciduous small tree,Boreal to cool temperate climates,"Cool moist rocky slopes, forest margins, bogs",Subalpine to rocky uplands,Mesic to wet-mesic,"Cool, moist, acidic rocky loams",Intermediate,Subalpine to boreal understory tree,"Species: Sorbus americana (American Mountain-Ash). Taxonomy & Functional Type: Deciduous small tree. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Cool moist rocky slopes, forest margins, bogs; Subalpine to rocky uplands. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Cool, moist, acidic rocky loams. Ecological Traits: Intermediate shade tolerance; Subalpine to boreal understory tree."
SOU,Sorbus decora,Showy Mountain-Ash,Deciduous small tree,Boreal cold climates,"Rocky shores, boreal forest gaps, high bluffs",High rocky shores and crests,Mesic to dry-mesic,Coarse acidic shallow rocky soils,Intermediate,Boreal forest gap tree,"Species: Sorbus decora (Showy Mountain-Ash). Taxonomy & Functional Type: Deciduous small tree. Climate Niche: Thrives in Boreal cold climates. Topography & Elevation: Found in Rocky shores, boreal forest gaps, high bluffs; High rocky shores and crests. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Coarse acidic shallow rocky soils. Ecological Traits: Intermediate shade tolerance; Boreal forest gap tree."
SOE,Sorbus aucuparia,European Mountain-Ash / Rowan,Deciduous tree,Cool temperate introduced climates,"Urban areas, woodlot edges, roadsides",Lowland to mid-elevation plains,Mesic,Well-drained acidic loams,Intermediate,Introduced naturalized tree,"Species: Sorbus aucuparia (European Mountain-Ash / Rowan). Taxonomy & Functional Type: Deciduous tree. Climate Niche: Thrives in Cool temperate introduced climates. Topography & Elevation: Found in Urban areas, woodlot edges, roadsides; Lowland to mid-elevation plains. Soil & Hydrology: Prefers Mesic moisture regimes and Well-drained acidic loams. Ecological Traits: Intermediate shade tolerance; Introduced naturalized tree."
EUG,Euonymus atropurpureus,Eastern Wahoo / Burningbush,Deciduous shrub / small tree,Carolinian warm temperate climates,"Rich floodplain woods, moist ravines",Lowland moist woods,Mesic to wet-mesic,"Rich, moist, calcareous alluvial soils",Tolerant,Understory shrub,"Species: Euonymus atropurpureus (Eastern Wahoo / Burningbush). Taxonomy & Functional Type: Deciduous shrub / small tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Rich floodplain woods, moist ravines; Lowland moist woods. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Rich, moist, calcareous alluvial soils. Ecological Traits: Tolerant shade tolerance; Understory shrub."
AT,Amelanchier spp.,Serviceberry / Juneberry / Saskatoon,Deciduous small tree / shrub,Boreal to Carolinian climates,"Rocky ridges, forest edges, cliff tops, sand dunes",Lowland to high rocky bluffs,Dry-mesic to mesic,"Adaptable sandy, gravelly, and rocky loams",Intermediate,Early successional small tree,"Species: Amelanchier spp. (Serviceberry / Juneberry / Saskatoon). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Boreal to Carolinian climates. Topography & Elevation: Found in Rocky ridges, forest edges, cliff tops, sand dunes; Lowland to high rocky bluffs. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Adaptable sandy, gravelly, and rocky loams. Ecological Traits: Intermediate shade tolerance; Early successional small tree."
CRB,Crataegus spp.,Hawthorn (Unspecified),Deciduous small tree / shrub,Temperate climates,"Abandoned pastures, fencerows, open savannas",Upland fields and pastures,Dry-mesic to mesic,"Heavy clay, limestone soils, compact loams",Intolerant,Old-field pioneer shrub,"Species: Crataegus spp. (Hawthorn (Unspecified)). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Temperate climates. Topography & Elevation: Found in Abandoned pastures, fencerows, open savannas; Upland fields and pastures. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Heavy clay, limestone soils, compact loams. Ecological Traits: Intolerant shade tolerance; Old-field pioneer shrub."
AP,Malus coronaria,Sweet Crabapple,Deciduous small tree,Carolinian warm temperate climates,"Open thickets, stream borders, old fields",Lowland to mid-elevation thickets,Mesic,Rich moist loams and heavy clays,Intolerant,Old-field pioneer tree,"Species: Malus coronaria (Sweet Crabapple). Taxonomy & Functional Type: Deciduous small tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Open thickets, stream borders, old fields; Lowland to mid-elevation thickets. Soil & Hydrology: Prefers Mesic moisture regimes and Rich moist loams and heavy clays. Ecological Traits: Intolerant shade tolerance; Old-field pioneer tree."
APM,Malus domestica,Apple,Deciduous tree,Temperate introduced climates,"Abandoned orchards, fencerows, pasture edges",Lowland to upland fields,Mesic,Well-drained fertile loams,Intolerant,Introduced escape pioneer,"Species: Malus domestica (Apple). Taxonomy & Functional Type: Deciduous tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Abandoned orchards, fencerows, pasture edges; Lowland to upland fields. Soil & Hydrology: Prefers Mesic moisture regimes and Well-drained fertile loams. Ecological Traits: Intolerant shade tolerance; Introduced escape pioneer."
CORN,Cornus florida,Flowering Dogwood,Deciduous small tree / understory,Carolinian warm temperate climates,"Understory of rich hardwood slopes, sheltered ravines",Moist upland slopes,Mesic,"Deep, rich, moist, acidic organic loams",Tolerant,Understory climax tree,"Species: Cornus florida (Flowering Dogwood). Taxonomy & Functional Type: Deciduous small tree / understory. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Understory of rich hardwood slopes, sheltered ravines; Moist upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, acidic organic loams. Ecological Traits: Tolerant shade tolerance; Understory climax tree."
CORA,Cornus alternifolia,Alternate-leaf Dogwood / Pagoda Dogwood,Deciduous small tree / shrub,Great Lakes-St. Lawrence temperate climates,"Rich hardwood forest understory, moist ravines",Moist understory slopes,Mesic to wet-mesic,"Deep, cool, moist acidic loams",Tolerant,Understory shrub,"Species: Cornus alternifolia (Alternate-leaf Dogwood / Pagoda Dogwood). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Rich hardwood forest understory, moist ravines; Moist understory slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, cool, moist acidic loams. Ecological Traits: Tolerant shade tolerance; Understory shrub."
CORS,Cornus sericea,Red-osier Dogwood,Deciduous shrub,Boreal to temperate climates,"Swamp edges, stream margins, wet meadows",Lowland wetland corridors,Hydric to wet-mesic,"Wet organic muck, rich alluvial silt",Intermediate to tolerant,Wetland thicket shrub,"Species: Cornus sericea (Red-osier Dogwood). Taxonomy & Functional Type: Deciduous shrub. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Swamp edges, stream margins, wet meadows; Lowland wetland corridors. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet organic muck, rich alluvial silt. Ecological Traits: Intermediate to tolerant shade tolerance; Wetland thicket shrub."
VIB,Viburnum lentago,Nannyberry,Deciduous small tree / shrub,Temperate climates,"Forest edges, stream banks, swamp borders",Lowland to upland damp borders,Mesic to wet-mesic,"Rich, moist, well-drained loams",Intermediate,Early-to-mid successional shrub,"Species: Viburnum lentago (Nannyberry). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Temperate climates. Topography & Elevation: Found in Forest edges, stream banks, swamp borders; Lowland to upland damp borders. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Rich, moist, well-drained loams. Ecological Traits: Intermediate shade tolerance; Early-to-mid successional shrub."
VIBL,Viburnum trilobum,Highbush Cranberry,Deciduous shrub,Boreal to temperate climates,"Moist thickets, swamp borders, stream banks",Lowland wet thickets,Wet-mesic to hydric,"Moist organic muck, wet mineral silts",Intermediate to tolerant,Wetland shrub,"Species: Viburnum trilobum (Highbush Cranberry). Taxonomy & Functional Type: Deciduous shrub. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Moist thickets, swamp borders, stream banks; Lowland wet thickets. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Moist organic muck, wet mineral silts. Ecological Traits: Intermediate to tolerant shade tolerance; Wetland shrub."
CEPH,Cephalanthus occidentalis,Buttonbush,Deciduous wetland shrub,Temperate to Carolinian climates,"Shallow water swamps, pond margins, marshes",Lowland active wetland basins,Hydric,Organic muck in standing water,Intermediate,Wetland pioneer shrub,"Species: Cephalanthus occidentalis (Buttonbush). Taxonomy & Functional Type: Deciduous wetland shrub. Climate Niche: Thrives in Temperate to Carolinian climates. Topography & Elevation: Found in Shallow water swamps, pond margins, marshes; Lowland active wetland basins. Soil & Hydrology: Prefers Hydric moisture regimes and Organic muck in standing water. Ecological Traits: Intermediate shade tolerance; Wetland pioneer shrub."
OH,Angiospermae spp.,Other Hardwood (Unspecified),Deciduous broadleaf tree,Temperate to boreal climates,Variable hardwood forest stands,Lowland to upland,Dry-mesic to wet-mesic,Variable mineral soils,Variable,Variable successional stage,"Species: Angiospermae spp. (Other Hardwood (Unspecified)). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate to boreal climates. Topography & Elevation: Found in Variable hardwood forest stands; Lowland to upland. Soil & Hydrology: Prefers Dry-mesic to wet-mesic moisture regimes and Variable mineral soils. Ecological Traits: Variable shade tolerance; Variable successional stage."
U,Unknown species,Unclassified / Unknown Tree,Tree / Woody vegetation,Unclassified,Unclassified site,Unclassified elevation,Unclassified,Unclassified substrate,Unclassified,Unclassified stage,"Species: Unknown species (Unclassified / Unknown Tree). Taxonomy & Functional Type: Tree / Woody vegetation. Climate Niche: Thrives in Unclassified. Topography & Elevation: Found in Unclassified site; Unclassified elevation. Soil & Hydrology: Prefers Unclassified moisture regimes and Unclassified substrate. Ecological Traits: Unclassified shade tolerance; Unclassified stage."
